old,new,phase,confidence,status,notes
Class347,WidgetDragHandler,core,high,approved,Imported from legacy classes map
Class348,Node,core,high,approved,Imported from legacy classes map
Class348_Sub1,Light,core,high,approved,Imported from legacy classes map
Class348_Sub10,VorbisSample,core,high,approved,Imported from legacy classes map
Class348_Sub11,KeyLogEntry,core,high,approved,Imported from legacy classes map
Class348_Sub12,WorldMapElementBounds,core,high,approved,Imported from legacy classes map
Class348_Sub13,PlayerAppearance,core,high,approved,Imported from legacy classes map
Class348_Sub14,TimedVarEntry,core,high,approved,Imported from legacy classes map
Class348_Sub15,VideoEntry,core,high,approved,Imported from legacy classes map
Class348_Sub16,PcmStream,core,high,approved,Imported from legacy classes map
Class348_Sub16_Sub1,MusicPatchPcmStream,core,high,approved,Imported from legacy classes map
Class348_Sub16_Sub2,PcmStreamQueue,core,high,approved,Imported from legacy classes map
Class348_Sub16_Sub3,MidiPcmStream,core,high,approved,Imported from legacy classes map
Class348_Sub16_Sub4,PcmStreamMixer,core,high,approved,Imported from legacy classes map
Class348_Sub16_Sub5,RawPcmStream,core,high,approved,Imported from legacy classes map
Class348_Sub17,MusicPatch,core,high,approved,Imported from legacy classes map
Class348_Sub18,WorldMapSection,core,high,approved,Imported from legacy classes map
Class348_Sub19,AbstractSound,core,high,approved,Imported from legacy classes map
Class348_Sub19_Sub1,RawSound,core,high,approved,Imported from legacy classes map
Class348_Sub1_Sub1,OpenGLLight,core,high,approved,Imported from legacy classes map
Class348_Sub1_Sub2,SafeModeLight,core,high,approved,Imported from legacy classes map
Class348_Sub1_Sub3,MutableLight,core,high,approved,Imported from legacy classes map
Class348_Sub2,MidiSong,core,high,approved,Imported from legacy classes map
Class348_Sub20,OpenGLTerrainLayer,core,high,approved,Imported from legacy classes map
Class348_Sub21,WorldMapElementMarker,core,high,approved,Imported from legacy classes map
Class348_Sub22,NpcNode,core,high,approved,Imported from legacy classes map
Class348_Sub23,OggStream,core,high,approved,Imported from legacy classes map
Class348_Sub23_Sub1,VorbisAudioStream,core,high,approved,Imported from legacy classes map
Class348_Sub23_Sub2,TheoraVideoStream,core,high,approved,Imported from legacy classes map
Class348_Sub23_Sub3,UnknownOggStream,core,high,approved,Imported from legacy classes map
Class348_Sub23_Sub4,OggKateStream,core,high,approved,Imported from legacy classes map
Class348_Sub24,ColorImageCacheSlot,core,high,approved,Imported from legacy classes map
Class348_Sub25,AnimatedTexturePixels,core,high,approved,Imported from legacy classes map
Class348_Sub26,PingRequest,core,high,approved,Imported from legacy classes map
Class348_Sub27,PendingSpawn,core,high,approved,Imported from legacy classes map
Class348_Sub28,DeferredInterface19Node,core,high,approved,Imported from legacy classes map
Class348_Sub29,ShortNode,core,high,approved,Imported from legacy classes map
Class348_Sub3,DirectXTerrainLayer,core,high,approved,Imported from legacy classes map
Class348_Sub30,PcmStreamMixerListener,core,high,approved,Imported from legacy classes map
Class348_Sub31,CanvasSurface,core,high,approved,Imported from legacy classes map
Class348_Sub31_Sub1,BufferedImageSurface,core,high,approved,Imported from legacy classes map
Class348_Sub31_Sub2,ImageProducerSurface,core,high,approved,Imported from legacy classes map
Class348_Sub32,OpenGLTerrainLight,core,high,approved,Imported from legacy classes map
Class348_Sub33,AnimBase,core,high,approved,Imported from legacy classes map
Class348_Sub34,BitMasks,core,high,approved,Imported from legacy classes map
Class348_Sub35,IntNode,core,high,approved,Imported from legacy classes map
Class348_Sub36,ClientScriptEvent,core,high,approved,Imported from legacy classes map
Class348_Sub37,TextureOpDecoder,core,high,approved,Imported from legacy classes map
Class348_Sub38,DirectXTerrainLight,core,high,approved,Imported from legacy classes map
Class348_Sub39,WorldMapTileObjectList,core,high,approved,Imported from legacy classes map
Class348_Sub4,MachineInfo,core,high,approved,Imported from legacy classes map
Class348_Sub40,TextureOp,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub1,TextureOpBrightness,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub10,TextureOpRange,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub11,TextureOpWeave,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub12,TextureOpGradient,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub13,TextureOpGrayScale,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub14,TextureOpCurve,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub15,TextureOpConstantMonochrome,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub16,TextureOpArithmetic,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub17,TextureOpSpriteSource,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub17_Sub1,TextureOpTilingSprite,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub18,TextureOpConstantColour,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub19,TextureOpHorizontalGradient,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub2,TextureOpHerringbone,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub20,TextureOpPseudoRandomNoise,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub21,TextureOpWavyCross,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub22,TextureOpBricks,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub23,TextureOpIrregularBricks,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub24,TextureOpSquareWaveform,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub25,TextureOpMandelbrot,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub26,TextureOpColourStrip,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub27,TextureOpInterpolate,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub28,TextureOpLineNoise,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub29,TextureOpTextureSource,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub3,TextureOpRangeThreshold,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub30,TextureOpHslAdjust,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub31,TextureOpTiling,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub32,TextureOpInvert,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub33,TextureOpKaleidoscope,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub34,TextureOpNormalMap,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub35,TextureOpEmboss,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub36,TextureOpDiagonalGradient,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub37,TextureOpBlur,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub38,TextureOpClamp,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub39,TextureOpShapeRasterizer,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub4,TextureOpVerticalGradient,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub5,TextureOpVoronoiNoise,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub6,TextureOpTrigWarp,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub7,TextureOpMirror,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub8,TextureOpPerlinNoise,core,high,approved,Imported from legacy classes map
Class348_Sub40_Sub9,TextureOpMonochromeEdgeDetector,core,high,approved,Imported from legacy classes map
Class348_Sub41,MapRegionLoader,core,high,approved,Imported from legacy classes map
Class348_Sub42,SecondaryNode,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub1,ParamTable,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub10,QuickChatPhraseType,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub11,QuickChatCatType,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub12,ChatMessage,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub13,ChatChannel,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub14,WorldMapArea,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub15,DelayedStateChange,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub16,AsyncOperation,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub16_Sub1,GmtDateFormatter,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub16_Sub2,ArchiveDiskAction,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub17,AnimFrames,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub18,ProjectileNode,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub19,ClientScript,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub2,OpenGLRenderbuffer,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub20,ParticleEffectorInstance,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub3,ByteArraySecondaryNode,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub4,PcmBufferNode,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub5,TextureDefinition,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub6,GraphicsObjectNode,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub7,InvType,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub8,ReferenceNode,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub8_Sub1,SoftReferenceNode,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub8_Sub2,HardReferenceNode,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub9,ReferenceCacheEntry,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub9_Sub1,HardReferenceCacheEntry,core,high,approved,Imported from legacy classes map
Class348_Sub42_Sub9_Sub2,SoftReferenceCacheEntry,core,high,approved,Imported from legacy classes map
Class348_Sub43,MiniMenu,core,high,approved,Imported from legacy classes map
Class348_Sub44,WidgetFlags,core,high,approved,Imported from legacy classes map
Class348_Sub45,InputEventRecord,core,high,approved,Imported from legacy classes map
Class348_Sub45_Sub1,MouseWheelEventRecord,core,high,approved,Imported from legacy classes map
Class348_Sub45_Sub2,MouseEventRecord,core,high,approved,Imported from legacy classes map
Class348_Sub46,EnumStringLookupEntry,core,high,approved,Imported from legacy classes map
Class348_Sub47,PacketBufferNode,core,high,approved,Imported from legacy classes map
Class348_Sub48,ReflectionCheck,core,high,approved,Imported from legacy classes map
Class348_Sub49,JagBuffer,core,high,approved,Imported from legacy classes map
Class348_Sub49_Sub1,PacketWriter,core,high,approved,Imported from legacy classes map
Class348_Sub49_Sub2,PacketBuffer,core,high,approved,Imported from legacy classes map
Class348_Sub5,PostProcessor,core,high,approved,Imported from legacy classes map
Class348_Sub50,StringNode,core,high,approved,Imported from legacy classes map
Class348_Sub51,ClientPreferences,core,high,approved,Imported from legacy classes map
Class348_Sub5_Sub1,BloomPostProcessor,core,high,approved,Imported from legacy classes map
Class348_Sub6,MonochromeImageCacheSlot,core,high,approved,Imported from legacy classes map
Class348_Sub7,ItemSpriteRequest,core,high,approved,Imported from legacy classes map
Class348_Sub8,MidiNoteUsage,core,high,approved,Imported from legacy classes map
Class348_Sub9,AmbientSound,core,high,approved,Imported from legacy classes map
Class349,AudioBiquadFilter,core,high,approved,Imported from legacy classes map
Class35,AudioSystemInit,core,high,approved,Imported from legacy classes map
Class350,ModelBillboardTransform,core,high,approved,Imported from legacy classes map
Class351,ClientPacket,core,high,approved,Imported from legacy classes map
Class352,GroundItemPileCache,core,high,approved,Imported from legacy classes map
Class353,OpenGLTextureMipmapUtil,core,high,approved,Imported from legacy classes map
Class354,OpenGLTextureCache,core,high,approved,Imported from legacy classes map
Class355,QuickChatPhraseTypeList,core,high,approved,Imported from legacy classes map
Class356,HashTable,core,high,approved,Imported from legacy classes map
Class357,SceneTile,core,high,approved,Imported from legacy classes map
Class358,ModelTextureProjectionData,core,high,approved,Imported from legacy classes map
Class359,LoginScreenResources,core,high,approved,Imported from legacy classes map
Class36,MapBuildProgressPhase,core,high,approved,Imported from legacy classes map
Class360,SoftwareVertexNormalAccumulator,core,high,approved,Imported from legacy classes map
Class361,CollisionMap,core,high,approved,Imported from legacy classes map
Class362,OverlayMessageRenderer,core,high,approved,Imported from legacy classes map
Class363,PendingSpawnManager,core,high,approved,Imported from legacy classes map
Class364,GameBuild,core,high,approved,Imported from legacy classes map
Class365,RendererInfo,core,high,approved,Imported from legacy classes map
Class366,DirectXVertexBuffer,core,high,approved,Imported from legacy classes map
Class367,DirectXShaderEffect,core,high,approved,Imported from legacy classes map
Class367_Sub1,PerlinNoiseAndWidgetUtil,core,high,approved,Imported from legacy classes map
Class367_Sub10,DirectXMapEffect,core,high,approved,Imported from legacy classes map
Class367_Sub11,UnderwaterShader,core,high,approved,Imported from legacy classes map
Class367_Sub2,OpenGLTransparentWaterShader,core,high,approved,Imported from legacy classes map
Class367_Sub3,DirectXRasterizerEffect,core,high,approved,Imported from legacy classes map
Class367_Sub4,DirectXSpecularCubeMapEffect,core,high,approved,Imported from legacy classes map
Class367_Sub5,DirectXUnderwaterVertexShaderSet,core,high,approved,Imported from legacy classes map
Class367_Sub6,DirectXTransparentWaterVertexShader,core,high,approved,Imported from legacy classes map
Class367_Sub7,DirectXEnvironmentMappedWaterShader,core,high,approved,Imported from legacy classes map
Class367_Sub8,ClientMiscUtil,core,high,approved,Imported from legacy classes map
Class367_Sub9,OpenGLEnvironmentMappedWaterShader,core,high,approved,Imported from legacy classes map
Class368,GfxType,core,high,approved,Imported from legacy classes map
Class369,UiLayout,core,high,approved,Imported from legacy classes map
Class369_Sub1,LoadingScreenSpriteBarLayout,core,high,approved,Imported from legacy classes map
Class369_Sub2,LoadingScreenFillBarLayout,core,high,approved,Imported from legacy classes map
Class369_Sub3,LoadingScreenFramedBarLayout,core,high,approved,Imported from legacy classes map
Class369_Sub3_Sub1,LoadingScreenScrollingBarLayout,core,high,approved,Imported from legacy classes map
Class37,ByteArrayPool,core,high,approved,Imported from legacy classes map
Class370,VorbisCodebook,core,high,approved,Imported from legacy classes map
Class371,OpenGLTextureFactory,core,high,approved,Imported from legacy classes map
Class372,NativeTextureCache,core,high,approved,Imported from legacy classes map
Class373,MouseInputHandler,core,high,approved,Imported from legacy classes map
Class373_Sub1,MouseWheelHandler,core,high,approved,Imported from legacy classes map
Class373_Sub2,MouseHandler,core,high,approved,Imported from legacy classes map
Class374,RandomDatFile,core,high,approved,Imported from legacy classes map
Class375,PlayerUpdateMaskParser,core,high,approved,Imported from legacy classes map
Class376,AsyncInputStream,core,high,approved,Imported from legacy classes map
Class377,OpenGLNativeToolkit,core,high,approved,Imported from legacy classes map
Class378,DirectXNativeToolkit,core,high,approved,Imported from legacy classes map
Class38,DevConsole,core,high,approved,Imported from legacy classes map
Class39,OpenGLResourceHandle,core,high,approved,Imported from legacy classes map
Class4,AnimFrame,core,high,approved,Imported from legacy classes map
Class40,BZip2State,core,high,approved,Imported from legacy classes map
Class41,FaceNormal,core,high,approved,Imported from legacy classes map
Class42,MapElementType,core,high,approved,Imported from legacy classes map
Class43,ClientCookieUtil,core,high,approved,Imported from legacy classes map
Class44,Cp1252ExtensionTable,core,high,approved,Imported from legacy classes map
Class45,Js5Archive,core,high,approved,Imported from legacy classes map
Class46,Widget,core,high,approved,Imported from legacy classes map
Class47,Clock,core,high,approved,Imported from legacy classes map
Class47_Sub1,MillisClock,core,high,approved,Imported from legacy classes map
Class47_Sub2,NanoClock,core,high,approved,Imported from legacy classes map
Class48,LoginRequestSender,core,high,approved,Imported from legacy classes map
Class49,SoftwareOffscreenSurface,core,high,approved,Imported from legacy classes map
Class5,LoadingScreenOp,core,high,approved,Imported from legacy classes map
Class50,RasterizerCommand,core,high,approved,Imported from legacy classes map
Class50_Sub1,RasterizerEllipseCommand,core,high,approved,Imported from legacy classes map
Class50_Sub2,RasterizerRectCommand,core,high,approved,Imported from legacy classes map
Class50_Sub3,RasterizerQuadCommand,core,high,approved,Imported from legacy classes map
Class50_Sub4,RasterizerLineCommand,core,high,approved,Imported from legacy classes map
Class51,ObjectType,core,high,approved,Imported from legacy classes map
Class52,LoadingScreenSolidFillLayout,core,high,approved,Imported from legacy classes map
Class53,DirectXSwapChain,core,high,approved,Imported from legacy classes map
Class54,LobbyScreenEntry,core,high,approved,Imported from legacy classes map
Class55,Video,core,high,approved,Imported from legacy classes map
Class55_Sub1,Js5VideoStream,core,high,approved,Imported from legacy classes map
Class56,LoadingStage,core,high,approved,Imported from legacy classes map
Class57,ClientDisplayMode,core,high,approved,Imported from legacy classes map
Class58,VertexLayout,core,high,approved,Imported from legacy classes map
Class59,PerlinNoiseGeneratorBase,core,high,approved,Imported from legacy classes map
Class59_Sub1,PerlinNoiseByteGenerator,core,high,approved,Imported from legacy classes map
Class59_Sub1_Sub1,TextureOpFactory,core,high,approved,Imported from legacy classes map
Class59_Sub1_Sub2,PerlinNoiseStereoByteGenerator,core,high,approved,Imported from legacy classes map
Class59_Sub2,PerlinNoiseAccumulatorGenerator,core,high,approved,Imported from legacy classes map
Class59_Sub2_Sub1,PerlinNoiseTextureGenerator,core,high,approved,Imported from legacy classes map
Class59_Sub2_Sub2,Pathfinder,core,high,approved,Imported from legacy classes map
Class5_Sub1,LoadingScreenFramedBarOp,core,high,approved,Imported from legacy classes map
Class5_Sub1_Sub1,LoadingScreenScrollingBarOp,core,high,approved,Imported from legacy classes map
Class5_Sub2,LoadingScreenFillBarOp,core,high,approved,Imported from legacy classes map
Class5_Sub3,LoadingScreenSpriteBarOp,core,high,approved,Imported from legacy classes map
Class6,SoftwareModelBillboard,core,high,approved,Imported from legacy classes map
Class60,SoftLruCache,core,high,approved,Imported from legacy classes map
Class61,GlDisplayListSet,core,high,approved,Imported from legacy classes map
Class62,TimeUtils,core,high,approved,Imported from legacy classes map
Class63,ContextMenuLayout,core,high,approved,Imported from legacy classes map
Class64,Model,core,high,approved,Imported from legacy classes map
Class64_Sub1,SoftwareModel,core,high,approved,Imported from legacy classes map
Class64_Sub2,NativeModel,core,high,approved,Imported from legacy classes map
Class64_Sub3,OpenGLModel,core,high,approved,Imported from legacy classes map
Class65,ParamTableList,core,high,approved,Imported from legacy classes map
Class66,ClientScriptInterpreter,core,high,approved,Imported from legacy classes map
Class67,LoadingScreenTextOp,core,high,approved,Imported from legacy classes map
Class68,IndexElementType,core,high,approved,Imported from legacy classes map
Class69,LoadResourceHandle,core,high,approved,Imported from legacy classes map
Class7,AwtFullscreenAdapter,core,high,approved,Imported from legacy classes map
Class70,TrigTables,core,high,approved,Imported from legacy classes map
Class71,MovementAnimationSelector,core,high,approved,Imported from legacy classes map
Class72,SkyBoxSphere,core,high,approved,Imported from legacy classes map
Class73,BillboardTypeList,core,high,approved,Imported from legacy classes map
Class74,ZoneUpdateType,core,high,approved,Imported from legacy classes map
Class75,WorldMap,core,high,approved,Imported from legacy classes map
Class75_Sub1,RenderGlobals,core,high,approved,Imported from legacy classes map
Class76,ScenePickBufferQueue,core,high,approved,Imported from legacy classes map
Class77,IsaacCipher,core,high,approved,Imported from legacy classes map
Class78,BufferedFile,core,high,approved,Imported from legacy classes map
Class79,NpcType,core,high,approved,Imported from legacy classes map
Class8,VertexNormalAccumulator,core,high,approved,Imported from legacy classes map
Class80,SynthInstrument,core,high,approved,Imported from legacy classes map
Class81,ClientNetworkStats,core,high,approved,Imported from legacy classes map
Class82,VarClientStringList,core,high,approved,Imported from legacy classes map
Class83,WaterNoiseTextureSet,core,high,approved,Imported from legacy classes map
Class84,SkyBoxTypeList,core,high,approved,Imported from legacy classes map
Class85,WhirlpoolDigest,core,high,approved,Imported from legacy classes map
Class86,MapFlagGlobals,core,high,approved,Imported from legacy classes map
Class87,SeqTypeList,core,high,approved,Imported from legacy classes map
Class88,LoginHandshake,core,high,approved,Imported from legacy classes map
Class89,OpenGLShaderProgram,core,high,approved,Imported from legacy classes map
Class9,HardwareToolkitLoader,core,high,approved,Imported from legacy classes map
Class90,MapRegionDecoder,core,high,approved,Imported from legacy classes map
Class91,NpcUpdateSanityCheck,core,high,approved,Imported from legacy classes map
Class92,NpcSpawnLoader,core,high,approved,Imported from legacy classes map
Class93,OpenGLToolkitLoader,core,high,approved,Imported from legacy classes map
Class94,ClientTickTiming,core,high,approved,Imported from legacy classes map
Class95,ConfigArchive,core,high,approved,Imported from legacy classes map
Class96,DirectXToolkitFactory,core,high,approved,Imported from legacy classes map
Class97,NativeAlphaMaskTile,core,high,approved,Imported from legacy classes map
Class98,Base64,core,high,approved,Imported from legacy classes map
Class99,WidgetAndChatUtil,core,high,approved,Imported from legacy classes map
Exception_Sub1,ToolkitException,core,high,approved,Imported from legacy classes map
IOException_Sub1,ProxyAuthenticationException,core,high,approved,Imported from legacy classes map
InputStream_Sub1,Whirlpool,core,high,approved,Imported from legacy classes map
InputStream_Sub2,ZoneUpdateDecoder,core,high,approved,Imported from legacy classes map
Interface1,LoadingScreenElement,core,high,approved,Imported from legacy classes map
Interface10,GroundAlphaMaskProjector,core,high,approved,Imported from legacy classes map
Interface11,Framebuffer,core,high,approved,Imported from legacy classes map
Interface12,LoadingScreenLayout,core,high,approved,Imported from legacy classes map
Interface13,DepthBuffer,core,high,approved,Imported from legacy classes map
Interface14,CacheKey,core,high,approved,Imported from legacy classes map
Interface15,ScriptVarFormatter,core,high,approved,Imported from legacy classes map
Interface16,LoadingScreen,core,high,approved,Imported from legacy classes map
Interface17,VarDomain,core,high,approved,Imported from legacy classes map
Interface18,GpuTexture,core,high,approved,Imported from legacy classes map
Interface18_Impl1,GpuTexture3D,core,high,approved,Imported from legacy classes map
Interface18_Impl2,GpuCubeMapTexture,core,high,approved,Imported from legacy classes map
Interface18_Impl3,GpuTexture2D,core,high,approved,Imported from legacy classes map
Interface19,DisposableResource,core,high,approved,Imported from legacy classes map
Interface2,GlArrayBuffer,core,high,approved,Imported from legacy classes map
Interface20,PcmPlayerBackend,core,high,approved,Imported from legacy classes map
Interface21,ClientScriptTriggerType,core,high,approved,Imported from legacy classes map
Interface3,SpriteHandle,core,high,approved,Imported from legacy classes map
Interface4,OffscreenSurface,core,high,approved,Imported from legacy classes map
Interface5,GpuBuffer,core,high,approved,Imported from legacy classes map
Interface5_Impl1,VertexBuffer,core,high,approved,Imported from legacy classes map
Interface5_Impl2,IndexBuffer,core,high,approved,Imported from legacy classes map
Interface6,KeyEventRecord,core,high,approved,Imported from legacy classes map
Interface7,LoadProgressTask,core,high,approved,Imported from legacy classes map
Interface8,GlElementArrayBuffer,core,high,approved,Imported from legacy classes map
Interface9,FramebufferAttachment,core,high,approved,Imported from legacy classes map
Option_Sub1,ClientOption01,core,high,approved,Imported from legacy classes map
Option_Sub10,ClientOption10,core,high,approved,Imported from legacy classes map
Option_Sub12,ClientOption12,core,high,approved,Imported from legacy classes map
Option_Sub13,ClientOption13,core,high,approved,Imported from legacy classes map
Option_Sub14,ClientOption14,core,high,approved,Imported from legacy classes map
Option_Sub15,ClientOption15,core,high,approved,Imported from legacy classes map
Option_Sub16,ClientOption16,core,high,approved,Imported from legacy classes map
Option_Sub17,ClientOption17,core,high,approved,Imported from legacy classes map
Option_Sub18,ClientOption18,core,high,approved,Imported from legacy classes map
Option_Sub19,ClientOption19,core,high,approved,Imported from legacy classes map
Option_Sub2,ClientOption02,core,high,approved,Imported from legacy classes map
Option_Sub20,ClientOption20,core,high,approved,Imported from legacy classes map
Option_Sub21,ClientOption21,core,high,approved,Imported from legacy classes map
Option_Sub22,ClientOption22,core,high,approved,Imported from legacy classes map
Option_Sub23,ClientOption23,core,high,approved,Imported from legacy classes map
Option_Sub24,ClientOption24,core,high,approved,Imported from legacy classes map
Option_Sub25,ClientOption25,core,high,approved,Imported from legacy classes map
Option_Sub26,ClientOption26,core,high,approved,Imported from legacy classes map
Option_Sub27,ClientOption27,core,high,approved,Imported from legacy classes map
Option_Sub28,ClientOption28,core,high,approved,Imported from legacy classes map
Option_Sub29,ClientOption29,core,high,approved,Imported from legacy classes map
Option_Sub3,ClientOption03,core,high,approved,Imported from legacy classes map
Option_Sub4,ClientOption04,core,high,approved,Imported from legacy classes map
Option_Sub5,ClientOption05,core,high,approved,Imported from legacy classes map
Option_Sub6,ClientOption06,core,high,approved,Imported from legacy classes map
Option_Sub7,ClientOption07,core,high,approved,Imported from legacy classes map
Option_Sub8,ClientOption08,core,high,approved,Imported from legacy classes map
Option_Sub9,ClientOption09,core,high,approved,Imported from legacy classes map
OutputStream_Sub1,SceneViewportRenderer,core,high,approved,Imported from legacy classes map
OutputStream_Sub2,ScenePickBufferPool,core,high,approved,Imported from legacy classes map
PcmPlayer_Sub1,JavaSoundPcmPlayer,core,high,approved,Imported from legacy classes map
RuntimeException_Sub1,TracedRuntimeException,core,high,approved,Imported from legacy classes map
Sprite_Sub1,NativeToolkitSprite,core,high,approved,Imported from legacy classes map
Sprite_Sub2,OpenGLToolkitSprite,core,high,approved,Imported from legacy classes map
a,SafeModeThreadContext,core,high,approved,Imported from legacy classes map
aa,SpriteMask,core,high,approved,Imported from legacy classes map
aa_Sub1,OpenGLSpriteMask,core,high,approved,Imported from legacy classes map
aa_Sub2,NativeSpriteMask,core,high,approved,Imported from legacy classes map
aa_Sub3,SoftwareSpriteMask,core,high,approved,Imported from legacy classes map
ba,SafeModeAlphaMask,core,high,approved,Imported from legacy classes map
client,Client,core,high,approved,Imported from legacy classes map
d,TextureProviderApi,core,high,approved,Imported from legacy classes map
dxVertexLayout,DirectXVertexLayout,core,high,approved,Imported from legacy classes map
h,NativeFontRenderer,core,high,approved,Imported from legacy classes map
ha,Toolkit,core,high,approved,Imported from legacy classes map
ha_Sub1,SoftwareToolkit,core,high,approved,Imported from legacy classes map
ha_Sub2,OpenGLToolkit,core,high,approved,Imported from legacy classes map
ha_Sub3,NativeToolkit,core,high,approved,Imported from legacy classes map
i,SafeModeModel,core,high,approved,Imported from legacy classes map
j,SafeModeSprite,core,high,approved,Imported from legacy classes map
ja,NativeMatrix,core,high,approved,Imported from legacy classes map
n,NativePalettedFontRenderer,core,high,approved,Imported from legacy classes map
na,SafeModeSpriteMask,core,high,approved,Imported from legacy classes map
oa,SafeModeToolkit,core,high,approved,Imported from legacy classes map
p,SafeModeCanvasSurface,core,high,approved,Imported from legacy classes map
r,AlphaMask,core,high,approved,Imported from legacy classes map
r_Sub1,NativeToolkitAlphaMask,core,high,approved,Imported from legacy classes map
r_Sub2,OpenGLAlphaMask,core,high,approved,Imported from legacy classes map
s,Ground,core,high,approved,Imported from legacy classes map
s_Sub1,SoftwareGround,core,high,approved,Imported from legacy classes map
s_Sub2,OpenGLGround,core,high,approved,Imported from legacy classes map
s_Sub3,NativeToolkitGround,core,high,approved,Imported from legacy classes map
t,SafeModeGround,core,high,approved,Imported from legacy classes map
wa,NativeOffscreenSurface,core,high,approved,Imported from legacy classes map
xa,NativeDepthBuffer,core,high,approved,Imported from legacy classes map
ya,SafeModeHeap,core,high,approved,Imported from legacy classes map
za,ToolkitHeap,core,high,approved,Imported from legacy classes map
za_Sub1,NativeHeapAllocator,core,high,approved,Imported from legacy classes map
za_Sub2,NativeHeapNode,core,high,approved,Imported from legacy classes map
